261,6.1651,6.7253
262,6.1523,6.7381
263,6.1398,6.751
264,6.1273,6.7638
265,6.115,6.7766
266,6.1028,6.7894
267,6.0908,6.8021
268,6.0788,6.8149
269,6.067,6.8276
270,6.0554,6.8402
271,6.0438,6.8529
272,6.0324,6.8655
273,6.0211,6.8781
274,6.01,6.8907
275,5.9989,6.9033
276,5.988,6.9158
277,5.9772,6.9283
278,5.9665,6.9408
279,5.9559,6.9533
280,5.9454,6.9658
281,5.9351,6.9782
282,5.9249,6.9906
283,5.9147,7.003
284,5.9047,7.0153
285,5.8948,7.0277
286,5.885,7.04
287,5.8753,7.0523
288,5.8657,7.0646
289,5.8562,7.0768
290,5.8468,7.0891
291,5.8376,7.1013
292,5.8284,7.1135
293,5.8193,7.1256
294,5.8103,7.1378
295,5.8014,7.1499
296,5.7926,7.162
297,5.7839,7.1741
298,5.7753,7.1862
299,5.7668,7.1982
300,5.7584,7.2103
301,5.7501,7.2223
302,5.7419,7.2342
303,5.7337,7.2462
304,5.7257,7.2582
305,5.7177,7.2701
306,5.7098,7.282
307,5.702,7.2939
308,5.6943,7.3058
309,5.6867,7.3176
310,5.6792,7.3294
311,5.6717,7.3412
312,5.6644,7.353
313,5.6571,7.3648
314,5.6499,7.3766
315,5.6427,7.3883
316,5.6357,7.4
317,5.6287,7.4117
318,5.6218,7.4234
319,5.615,7.4351
320,5.6083,7.4467
321,5.6016,7.4583
322,5.595,7.47
323,5.5885,7.4815
324,5.5821,7.4931
325,5.5757,7.5047
326,5.5694,7.5162
327,5.5632,7.5277
328,5.557,7.5392
329,5.551,7.5507
330,5.545,7.5622
331,5.539,7.5736
332,5.5331,7.5851
333,5.5273,7.5965
334,5.5216,7.6079
335,5.5159,7.6192
336,5.5103,7.6306
337,5.5048,7.642
338,5.4993,7.6533
339,5.4939,7.6646
340,5.4885,7.6759
341,5.4833,7.6872
342,5.478,7.6984
343,5.4729,7.7097
344,5.4678,7.7209
345,5.4627,7.7321
346,5.4578,7.7433
347,5.4528,7.7545
348,5.448,7.7657
349,5.4432,7.7768
350,5.4385,7.788
351,5.4338,7.7991
352,5.4291,7.8102
353,5.4246,7.8213
354,5.4201,7.8323
355,5.4156,7.8434
356,5.4112,7.8544
357,5.4069,7.8655
358,5.4026,7.8765
359,5.3983,7.8875
360,5.3941,7.8984
361,5.39,7.9094
362,5.3859,7.9203
363,5.3819,7.9313
364,5.3779,7.9422
365,5.374,7.9531
366,5.3701,7.964
367,5.3663,7.9749
368,5.3626,7.9857
369,5.3588,7.9966
370,5.3552,8.0074
371,5.3515,8.0182
372,5.348,8.029
373,5.3444,8.0398
374,5.341,8.0506
375,5.3375,8.0613
376,5.3342,8.072
377,5.3308,8.0828
378,5.3275,8.0935
379,5.3243,8.1042
380,5.3211,8.1149
381,5.3179,8.1255
382,5.3148,8.1362
383,5.3118,8.1468
384,5.3087,8.1575
385,5.3058,8.1681
386,5.3028,8.1787
387,5.2999,8.1893
388,5.2971,8.1998
389,5.2943,8.2104
390,5.2915,8.221
391,5.2888,8.2315
392,5.2861,8.242
393,5.2835,8.2525
394,5.2809,8.263
395,5.2783,8.2735
396,5.2758,8.2839
397,5.2733,8.2944
398,5.2709,8.3048
399,5.2685,8.3153
400,5.2662,8.3257
401,5.2638,8.3361
402,5.2616,8.3465
403,5.2593,8.3568
404,5.2571,8.3672
405,5.2549,8.3776
406,5.2528,8.3879
407,5.2507,8.3982
408,5.2487,8.4085
409,5.2466,8.4188
410,5.2447,8.4291
411,5.2427,8.4394
412,5.2408,8.4496
413,5.2389,8.4599
414,5.2371,8.4701
415,5.2353,8.4804
416,5.2335,8.4906
417,5.2318,8.5008
418,5.2301,8.5109
