Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e210-il-1000000
Airfoil,e210-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,140.311
Max Cl/Cd alpha,6.25
Url,http://airfoiltools.com/polar/csv?polar=xf-e210-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.500,-0.2499,0.11898,0.11743,-0.0471,0.9965,0.0141
-12.250,-0.7329,0.05010,0.04789,-0.0711,1.0000,0.0089
-12.000,-0.7375,0.04227,0.03985,-0.0820,0.9972,0.0090
-11.750,-0.7306,0.03647,0.03382,-0.0923,0.9941,0.0091
-11.500,-0.7173,0.03438,0.03166,-0.0962,0.9894,0.0093
-11.250,-0.6985,0.03064,0.02766,-0.1027,0.9856,0.0094
-11.000,-0.6680,0.02926,0.02618,-0.1062,0.9843,0.0098
-10.750,-0.6533,0.02708,0.02379,-0.1072,0.9797,0.0100
-10.500,-0.6295,0.02528,0.02179,-0.1090,0.9765,0.0103
-10.250,-0.6012,0.02368,0.01998,-0.1113,0.9746,0.0106
-10.000,-0.5693,0.02259,0.01873,-0.1135,0.9733,0.0108
-9.750,-0.5423,0.01978,0.01565,-0.1162,0.9720,0.0114
-9.500,-0.5247,0.01889,0.01470,-0.1150,0.9662,0.0116
-9.250,-0.4944,0.01817,0.01393,-0.1162,0.9637,0.0120
-9.000,-0.4617,0.01739,0.01306,-0.1179,0.9619,0.0124
-8.750,-0.4277,0.01664,0.01224,-0.1198,0.9606,0.0130
-8.500,-0.3928,0.01580,0.01130,-0.1218,0.9595,0.0134
-8.250,-0.3728,0.01524,0.01067,-0.1204,0.9528,0.0138
-8.000,-0.3408,0.01495,0.01032,-0.1214,0.9494,0.0141
-7.750,-0.3112,0.01329,0.00856,-0.1228,0.9467,0.0151
-7.500,-0.2900,0.01277,0.00802,-0.1216,0.9381,0.0156
-7.250,-0.2561,0.01217,0.00738,-0.1231,0.9331,0.0163
-7.000,-0.2241,0.01166,0.00681,-0.1242,0.9250,0.0169
-6.750,-0.1837,0.01111,0.00619,-0.1270,0.9178,0.0176
-6.500,-0.1453,0.01079,0.00579,-0.1293,0.9048,0.0181
-6.250,-0.1122,0.00988,0.00473,-0.1309,0.8865,0.0194
-6.000,-0.0825,0.00957,0.00429,-0.1314,0.8631,0.0203
-5.750,-0.0558,0.00936,0.00395,-0.1312,0.8391,0.0212
-5.500,-0.0305,0.00920,0.00365,-0.1307,0.8156,0.0220
-5.250,-0.0054,0.00910,0.00342,-0.1301,0.7938,0.0228
-5.000,0.0193,0.00884,0.00302,-0.1295,0.7728,0.0247
-4.750,0.0442,0.00870,0.00279,-0.1289,0.7531,0.0266
-4.500,0.0698,0.00861,0.00259,-0.1284,0.7353,0.0284
-4.250,0.0955,0.00844,0.00237,-0.1280,0.7185,0.0357
-4.000,0.1210,0.00816,0.00216,-0.1277,0.7026,0.0686
-3.750,0.1469,0.00796,0.00202,-0.1274,0.6882,0.1006
-3.500,0.1730,0.00780,0.00191,-0.1272,0.6747,0.1335
-3.250,0.1996,0.00764,0.00180,-0.1271,0.6619,0.1690
-3.000,0.2263,0.00745,0.00171,-0.1270,0.6502,0.2147
-2.750,0.2530,0.00725,0.00163,-0.1269,0.6394,0.2676
-2.500,0.2793,0.00699,0.00156,-0.1268,0.6290,0.3445
-2.250,0.3066,0.00685,0.00154,-0.1268,0.6192,0.4019
